postcode,lat,lng
0200,-35.2777,149.119
0800,-12.4587,130.8367
0801,-12.4587,130.8367
0803,-12.434,130.7459
0804,-12.428,130.8733
0810,-12.3818,130.8662
0811,-12.3818,130.8662
0812,-12.3912,130.8905
0813,-12.4048,130.9161
0814,-12.3818,130.8662
0815,-12.3718,130.869
0820,-12.428,130.8733
0821,-13.6433,136.9471
0822,-11.7584,130.6254
0828,-12.432,130.9321
0829,-12.4576,130.9598
0830,-12.5214,130.9581
0831,-12.4751,130.9749
0832,-12.4968,130.9937
0834,-12.5469,131.0235
0835,-12.5231,131.0415
0836,-12.5255,131.0962
0837,-12.7048,131.0166
0838,-12.7188,131.0067
0839,-12.52,131.0402
0840,-12.7245,130.3529
0841,-12.8192,130.9699
0845,-13.0451,131.0385
0846,-13.2103,131.095
0847,-14.0121,131.7592
0850,-14.4637,132.1721
0851,-15.7114,137.0507
0852,-16.4526,130.8419
0853,-14.5311,132.3791
0854,-16.5038,136.4242
0860,-19.6413,134.1736
0861,-18.8746,134.5005
0862,-18.2515,134.4632
0870,-23.7023,133.8631
0871,-21.9495,131.2988
0872,-21.9495,131.2988
0873,-23.7447,133.905
0874,-23.6469,133.8648
0875,-23.7135,133.8354
0880,-12.5056,135.7954
0881,-11.6704,136.8249
0885,-13.8508,136.4201
0886,-13.1312,132.5634
0906,-13.6433,136.9471
0907,-13.6433,136.9471
0909,-12.3718,130.869
1001,-33.7949,151.2681
1002,-33.7949,151.2681
1003,-33.7949,151.2681
1004,-33.7949,151.2681
1005,-33.7949,151.2681
1006,-33.7949,151.2681
1007,-33.7949,151.2681
1008,-33.7949,151.2681
1009,-33.7949,151.2681
1010,-33.7949,151.2681
1020,-33.7949,151.2681
1021,-33.7949,151.2681
1022,-33.7949,151.2681
1023,-33.7949,151.2681
1025,-33.7949,151.2681
1026,-33.7949,151.2681
1027,-33.7949,151.2681
1028,-33.7949,151.2681
1029,-33.7949,151.2681
1030,-33.7949,151.2681
1031,-33.7949,151.2681
1032,-33.6628,150.8742
1033,-33.7949,151.2681
1034,-33.7949,151.2681
1035,-33.7949,151.2681
1036,-33.7949,151.2681
1037,-33.7949,151.2681
1038,-33.7949,151.2681
1039,-33.7949,151.2681
1040,-33.7949,151.2681
1041,-33.7949,151.2681
1042,-33.7949,151.2681
1043,-33.7949,151.2681
1044,-33.7949,151.2681
1045,-33.7949,151.2681
1046,-33.7949,151.2681
1100,-33.7949,151.2681
1101,-33.7949,151.2681
1105,-33.7949,151.2681
1106,-33.7949,151.2681
1107,-33.7949,151.2681
1108,-33.7949,151.2681
1109,-33.7949,151.2681
1110,-33.7949,151.2681
1112,-33.7949,151.2681
1113,-33.7949,151.2681
1114,-33.7949,151.2681
1115,-33.7949,151.2681
1116,-33.6667,150.8661
1117,-33.6646,150.8702
1118,-33.7949,151.2681
1119,-33.7949,151.2681
1120,-33.7949,151.2681
1121,-33.7949,151.2681
1122,-33.7949,151.2681
1123,-33.7949,151.2681
1124,-33.7949,151.2681
1125,-33.7949,151.2681
1126,-33.7949,151.2681
1127,-33.7949,151.2681
1128,-33.7949,151.2681
1129,-33.7949,151.2681
1130,-33.7949,151.2681
1131,-33.7949,151.2681
1132,-33.6628,150.8743
1133,-33.7949,151.2681
1134,-33.7949,151.2681
1135,-33.7949,151.2681
1136,-33.7949,151.2681
1137,-33.7949,151.2681
1138,-33.7949,151.2681
1139,-33.7949,151.2681
1140,-33.7949,151.2681
1141,-33.7949,151.2681
1142,-33.7949,151.2681
1143,-33.7949,151.2681
1144,-33.7949,151.2681
1145,-33.7949,151.2681
1146,-33.7949,151.2681
1147,-33.7949,151.2681
1148,-33.7949,151.2681
1149,-33.7949,151.2681
1150,-33.7949,151.2681
1151,-33.7949,151.2681
1152,-33.7949,151.2681
1153,-33.7949,151.2681
1154,-33.7949,151.2681
1155,-33.7949,151.2681
1156,-33.7949,151.2681
1157,-33.7949,151.2681
1158,-33.7949,151.2681
1159,-33.7949,151.2681
1160,-33.7949,151.2681
1161,-33.7949,151.2681
1162,-33.7949,151.2681
1163,-33.7949,151.2681
1164,-33.7949,151.2681
1165,-33.7949,151.2681
1166,-33.7949,151.2681
1167,-33.7949,151.2681
1168,-33.7949,151.2681
1169,-33.7949,151.2681
1170,-33.7949,151.2681
1171,-33.7949,151.2681
1172,-33.7949,151.2681
1173,-33.7949,151.2681
1174,-33.7949,151.2681
1175,-33.7949,151.2681
1176,-33.7949,151.2681
1177,-33.7949,151.2681
1178,-33.7949,151.2681
1179,-33.7949,151.2681
1180,-33.7949,151.2681
1181,-33.7949,151.2681
1182,-33.7949,151.2681
1183,-33.7949,151.2681
1184,-33.7949,151.2681
1185,-33.7949,151.2681
1186,-33.7949,151.2681
1187,-33.7949,151.2681
1188,-33.7949,151.2681
1189,-33.7949,151.2681
1190,-33.7949,151.2681
1191,-33.7949,151.2681
1192,-34.7907,147.6853
1193,-33.7949,151.2681
1194,-33.7949,151.2681
1195,-33.7949,151.2681
1196,-33.7949,151.2681
1197,-33.7949,151.2681
1198,-33.7949,151.2681
1199,-33.7949,151.2681
1201,-33.7949,151.2681
1202,-33.7949,151.2681
1203,-33.7949,151.2681
1205,-33.7949,151.2681
1207,-33.7949,151.2681
1208,-29.8165,151.6595
1209,-33.8918,151.1763
1210,-33.8918,151.1763
1211,-33.8918,151.1763
1212,-33.8918,151.1763
1213,-33.8918,151.1763
1214,-33.8918,151.1763
1215,-33.8918,151.1763
1216,-33.7413,151.034
1217,-33.7413,151.034
1218,-33.7413,151.034
1219,-33.7413,151.034
1220,-33.7413,151.034
1221,-33.8653,151.2079
1222,-33.8653,151.2079
1223,-33.8653,151.2079
1224,-33.8653,151.2079
1225,-33.8653,151.2079
1226,-33.8717,151.2067
1227,-33.8717,151.2067
1228,-33.8717,151.2067
1229,-33.8717,151.2067
1230,-33.8717,151.2067
1231,-33.8156,151.0425
1232,-33.8156,151.0425
1233,-33.8156,151.0425
1234,-33.8156,151.0425
1235,-33.8156,151.0425
1236,-29.8165,151.6595
1237,-29.8165,151.6595
1238,-29.8165,151.6595
1239,-29.8165,151.6595
1240,-29.8165,151.6595
1291,-33.7949,151.2681
1292,-33.7949,151.2681
1293,-33.7949,151.2681
1294,-33.7949,151.2681
1295,-33.7949,151.2681
1296,-33.7949,151.2681
1297,-33.7949,151.2681
1298,-33.7949,151.2681
1299,-33.7949,151.2681
1300,-33.8773,151.2209
1314,-33.9508,151.21
1335,-33.8227,151.1176
1340,-35.5377,148.021
1350,-33.8887,151.2405
1355,-33.8937,151.2625
1360,-33.8758,151.2419
1401,-33.8842,151.1998
1405,-33.8919,151.0477
1419,-34.0641,151.094
1420,-33.7261,150.9318
1422,-33.7261,150.9318
1423,-33.7261,150.9318
1424,-33.7261,150.9318
1425,-33.7261,150.9318
1426,-33.7261,150.9318
1427,-33.7261,150.9318
1428,-33.7261,150.9318
1429,-33.7261,150.9318
1430,-33.8902,151.1995
1435,-33.7118,151.1082
1440,-33.9028,151.0579
1441,-33.9028,151.0579
1445,-34.0831,151.0077
1450,-30.3058,153.1368
1455,-33.9471,151.1976
1460,-33.9267,151.2108
1465,-33.8885,151.1407
1466,-33.9066,151.2344
1470,-33.843,151.152
1475,-33.9091,151.1533
1476,-33.9091,151.1533
1480,-33.9359,151.1
1481,-33.9646,151.101
1484,-33.9386,151.101
1485,-33.9744,151.1403
1490,-34.0359,151.1072
1493,-33.9759,151.0889
1495,-34.0469,151.1239
1499,-34.0157,151.0622
1515,-33.8246,151.2073
1560,-33.8126,151.2148
1565,-33.8654,151.1931
1570,-33.8081,151.1927
1585,-33.8346,151.2009
1590,-33.292,151.4687
